==== 全部 ====
9. 《长安好绝色》 - https://www.qidian.com/book/1045103853/
10. 《破位》 - https://www.qidian.com/book/1044700322/
11. 《巨浪！巨浪！》 - https://www.qidian.com/book/1031872160/
12. 《素纸装千秋》 - https://www.qidian.com/book/1042508710/
13. 《山城海角》 - https://www.qidian.com/book/1044963095/
14. 《杀手的假期》 - https://www.qidian.com/book/1044925079/
15. 《破晓长庚》 - https://www.qidian.com/book/1040491752/
16. 《橘尼尔》 - https://www.qidian.com/book/1016397510/
17. 《十七岁少女失踪事件》 - https://www.qidian.com/book/1036532435/
18. 《造车》 - https://www.qidian.com/book/1004593977/
19. 《我在凶宅当试睡员》 - https://www.qidian.com/book/1034943514/
20. 《我为国家修文物》 - https://www.qidian.com/book/1014249435/
21. 《影子老师》 - https://www.qidian.com/book/1044873015/
22. 《狐之光》 - https://www.qidian.com/book/1036924209/
23. 《冷链二十年》 - https://www.qidian.com/book/1031078025/
24. 《宁城往事之三朵花》 - https://www.qidian.com/book/1026573305/
25. 《铁路往事》 - https://www.qidian.com/book/1024408931/
26. 《不良律师》 - https://www.qidian.com/book/1038153875/
27. 《厨子老谭的北方往事》 - https://www.qidian.com/book/1022025811/
28. 《职场风云路》 - https://www.qidian.com/book/1010835424/
29. 《春风二十年》 - https://www.qidian.com/book/1010709025/
30. 《余生未了》 - https://www.qidian.com/book/1045158041/
31. 《一揽芳华》 - https://www.qidian.com/book/1041841913/
32. 《虎爸豹妈》 - https://www.qidian.com/book/1041811240/
33. 《云去山如画》 - https://www.qidian.com/book/1040355844/
34. 《犬齿》 - https://www.qidian.com/book/1039070682/
35. 《说吧，秘密》 - https://www.qidian.com/book/1038258962/
36. 《超级大忽悠》 - https://www.qidian.com/book/1936629/
37. 《草根律师也有春天》 - https://www.qidian.com/book/1028769162/
38. 《中心主任》 - https://www.qidian.com/book/1028048137/
39. 《刑警的使命》 - https://www.qidian.com/book/1027512522/
40. 《风口》 - https://www.qidian.com/book/1026156497/
41. 《快遗忘的那几年》 - https://www.qidian.com/book/1016544909/
42. 《山风微澜》 - https://www.qidian.com/book/1015371530/
43. 《从商二十年》 - https://www.qidian.com/book/1013315827/

==== 军事 ====
1. 《亮剑金陵十三钗》 - https://www.qidian.com/book/1043521681/
2. 《抗战：唤醒勇虎》 - https://www.qidian.com/book/1035850126/
3. 《这抗战也太真实了》 - https://www.qidian.com/book/1043098789/
4. 《淞沪：从时空兑换系统开始》 - https://www.qidian.com/book/1045724370/
5. 《抗战：从八佰开始》 - https://www.qidian.com/book/1029773997/
6. 《亮剑之人形自走炮》 - https://www.qidian.com/book/1043879335/
7. 《长夜谍影》 - https://www.qidian.com/book/1033809708/
8. 《烽火从壮士出川开始》 - https://www.qidian.com/book/1036078391/
9. 《特种兵之特战兵王》 - https://www.qidian.com/book/1042631817/
10. 《亮剑：从俞家岭开始》 - https://www.qidian.com/book/1045327060/
11. 《熢火之下》 - https://www.qidian.com/book/1017661414/
12. 《淞沪：永不陷落》 - https://www.qidian.com/book/1038744639/

==== 历史 ====
1. 《战地牧师日记》 - https://www.qidian.com/book/1044921148/
2. 《这个崇祯太过极端》 - https://www.qidian.com/book/1045142477/
3. 《贼天子》 - https://www.qidian.com/book/1039691520/
4. 《归义非唐》 - https://www.qidian.com/book/1041871395/
5. 《红楼帝业》 - https://www.qidian.com/book/1043274473/
